customer_id,sales_sum,sales_mean,sales_count,sales_std,order_date_min,order_date_max,order_date_count,product_count,product_nunique,country_count,country_nunique,industry_count,row_id_sum,row_id_mean,row_id_count,quantity_sum,quantity_mean,quantity_count,discount_sum,discount_mean,discount_count,profit_sum,profit_mean,profit_count,revenue_per_transaction,engagement_score,recency_days,frequency,customer_segment,lifecycle_stage
1001,12617.114,188.3151343283582,67,380.220981390045,2020-04-15,2023-12-19,67,67,11,67,12,67,344496,5141.731343283582,67,266,3.970149253731343,67,8.7,0.1298507462686567,67,2281.7391,34.05580746268657,67,188.3151343283582,0.0366247427408656,12,67,At Risk,Regular
1002,27278.593,178.29145751633988,153,362.9878189102724,2020-03-31,2023-12-10,153,153,14,153,21,153,803419,5251.104575163398,153,608,3.973856209150327,153,24.9,0.1627450980392157,153,3312.6698,21.65143660130719,153,178.29145751633988,0.0339530917826292,21,153,At Risk,Regular
1003,39941.64,380.3965714285714,105,759.9480815528663,2020-02-19,2023-12-30,105,105,13,105,22,105,552290,5259.9047619047615,105,411,3.914285714285714,105,13.0,0.1238095238095238,105,-2796.2935000000007,-26.631366666666672,105,380.3965714285714,0.0723199183039376,1,105,New Customers,Active
1004,23189.2165,173.05385447761194,134,293.4170395061728,2020-01-14,2023-12-18,134,134,13,134,22,134,658673,4915.470149253732,134,507,3.783582089552239,134,20.7,0.1544776119402985,134,2163.9843,16.14913656716418,134,173.05385447761194,0.0352059083856353,13,134,At Risk,Regular
1005,33514.921,244.6344598540146,137,430.9466464875699,2020-03-01,2023-12-24,137,137,12,137,24,137,670224,4892.14598540146,137,556,4.0583941605839415,137,19.82,0.1446715328467153,137,5436.2589,39.680721897810216,137,244.6344598540146,0.0500054772650975,7,137,Promising,Active
1006,14863.527,148.63527,100,280.1702900649313,2020-01-16,2023-12-31,100,100,13,100,19,100,410222,4102.22,100,345,3.45,100,11.3,0.113,100,1474.3551,14.743551,100,148.63527,0.0362327977709684,0,100,At Risk,Active
1007,39234.761,263.3205436241611,149,560.4617419521455,2020-02-24,2023-12-28,149,149,14,149,19,149,654054,4389.624161073825,149,602,4.040268456375839,149,31.5,0.2114093959731543,149,4202.8824,28.20726442953021,149,263.3205436241611,0.0599869445230141,3,149,New Customers,Active
1008,23069.418,250.75454347826084,92,649.8044366146441,2020-01-10,2023-12-29,92,92,12,92,24,92,535919,5825.20652173913,92,350,3.804347826086957,92,17.2,0.1869565217391304,92,3626.6249,39.41983586956521,92,250.75454347826084,0.0430463837886251,2,92,Promising,Active
1009,43893.0424,249.39228636363637,176,541.683488780455,2020-03-03,2023-12-25,176,176,14,176,26,176,893842,5078.647727272727,176,672,3.8181818181818175,176,24.87,0.1413068181818182,176,4010.7662,22.788444318181817,176,249.39228636363637,0.0491059866218116,6,176,Promising,Active
1010,29462.324,195.1147284768212,151,474.6849237465196,2020-03-11,2023-12-22,151,151,13,151,23,151,774610,5129.867549668874,151,536,3.5496688741721854,151,22.05,0.1460264900662251,151,4520.6641,29.93817284768212,151,195.1147284768212,0.0380349930481235,9,151,Promising,Regular
1011,41255.9471,312.5450537878788,132,571.573645828064,2020-06-15,2023-12-22,132,132,13,132,25,132,693728,5255.515151515152,132,530,4.015151515151516,132,17.17,0.1300757575757576,132,6449.8554,48.86254090909091,132,312.5450537878788,0.0594698320237441,9,132,New Customers,Regular
1012,7100.929,182.07510256410256,39,284.8038067668407,2020-03-31,2023-12-27,39,39,11,39,14,39,215761,5532.333333333333,39,119,3.051282051282051,39,6.5,0.1666666666666666,39,812.7311000000001,20.839258974358977,39,182.07510256410256,0.032910934270168,4,39,At Risk,Active
1013,12636.094,157.951175,80,244.66412167729223,2020-02-16,2023-12-26,80,80,14,80,21,80,414951,5186.8875,80,300,3.75,80,11.8,0.1475,80,1001.466,12.518325,80,157.951175,0.0304519414293701,5,80,At Risk,Active
1014,14296.148,158.84608888888891,90,302.5875156408099,2020-01-31,2023-12-27,90,90,12,90,17,90,438512,4872.355555555556,90,301,3.344444444444445,90,18.25,0.2027777777777777,90,666.5414,7.406015555555555,90,158.84608888888891,0.0326014234469673,4,90,At Risk,Active
1015,23933.329,227.93646666666663,105,524.769442833434,2020-03-17,2023-12-25,105,105,13,105,27,105,508326,4841.2,105,424,4.038095238095238,105,18.8,0.179047619047619,105,3078.6628,29.320598095238097,105,227.93646666666663,0.0470825452907282,6,105,Promising,Active
1016,20865.1,242.6174418604651,86,321.8574096202743,2020-03-28,2023-12-15,86,86,13,86,16,86,332355,3864.593023255814,86,330,3.8372093023255816,86,13.7,0.1593023255813953,86,2579.1617,29.9902523255814,86,242.6174418604651,0.0627793691102311,16,86,New Customers,Regular
1017,34912.1605,231.2063609271523,151,501.404151753198,2020-02-23,2023-12-27,151,151,14,151,26,151,693283,4591.278145695364,151,582,3.8543046357615895,151,24.4,0.1615894039735099,151,3569.898,23.641708609271525,151,231.2063609271523,0.0503576607854789,4,151,Promising,Active
1018,9628.431,192.56862,50,340.6554667646004,2020-06-06,2023-12-02,50,50,12,50,12,50,218144,4362.88,50,177,3.54,50,12.0,0.24,50,184.0959,3.681918,50,192.56862,0.0441377569964931,29,50,Promising,Regular
1019,19780.466,206.04652083333332,96,359.9272406420929,2020-03-28,2023-12-15,96,96,13,96,20,96,528721,5507.510416666667,96,383,3.9895833333333335,96,14.6,0.1520833333333333,96,3219.8450000000003,33.540052083333336,96,206.04652083333332,0.0374118459228101,16,96,Promising,Regular
1020,6132.521000000001,278.7509545454546,22,622.7894955127276,2020-04-25,2023-05-06,22,22,10,22,9,22,106866,4857.545454545455,22,97,4.409090909090909,22,5.2,0.2363636363636363,22,474.3321,21.56055,22,278.7509545454546,0.0573846089063976,239,22,New Customers,Inactive
1021,28643.804,353.6272098765432,81,1947.4268297035565,2020-02-28,2023-12-22,81,81,13,81,17,81,471433,5820.16049382716,81,305,3.765432098765432,81,13.6,0.1679012345679012,81,9449.0246,116.65462469135804,81,353.6272098765432,0.0607588845946622,9,81,New Customers,Regular
1022,25597.57,158.99111801242236,161,330.44355516255314,2020-03-14,2023-12-29,161,161,13,161,25,161,828138,5143.714285714285,161,564,3.503105590062112,161,28.65,0.1779503105590062,161,2086.9055,12.96214596273292,161,158.99111801242236,0.0309097506578002,2,161,At Risk,Active
1023,20290.341,171.95204237288135,118,407.9409486875844,2020-08-24,2023-11-24,118,118,13,118,20,118,657443,5571.550847457627,118,451,3.8220338983050848,118,19.15,0.1622881355932203,118,4496.3264,38.10446101694915,118,171.95204237288135,0.0308624628105207,37,118,At Risk,Declining
1024,32291.4686,227.40470845070425,142,489.04042879539634,2020-01-07,2023-12-11,142,142,14,142,21,142,730313,5143.049295774648,142,538,3.788732394366197,142,22.42,0.1578873239436619,142,4136.3405,29.129158450704228,142,227.40470845070425,0.0442158696122489,20,142,Promising,Regular
1025,21796.702,351.5597096774194,62,1125.1054914187246,2020-04-26,2023-12-30,62,62,14,62,17,62,331065,5339.758064516129,62,236,3.806451612903226,62,8.5,0.1370967741935483,62,-1354.8547000000003,-21.852495161290328,62,351.5597096774194,0.0658379356382111,1,62,New Customers,Active
1026,23736.8515,181.1973396946565,131,360.5441536428507,2020-01-05,2023-12-15,131,131,13,131,22,131,565877,4319.67175572519,131,506,3.862595419847328,131,18.05,0.1377862595419847,131,4181.2625,31.918034351145035,131,181.1973396946565,0.0419469417436267,16,131,Loyal Customers,Regular
1027,5402.902,101.94154716981132,53,143.6530815014698,2020-08-08,2023-11-18,53,53,12,53,9,53,219489,4141.301886792453,53,193,3.641509433962264,53,9.7,0.1830188679245283,53,-13.969500000000032,-0.2635754716981138,53,101.94154716981132,0.0246157091439245,43,53,Promising,Declining
